name,handedness,height,weight,avg,HR,count,value,avg_mean,avg_HR,avg_handedness
Gary Mielke,R,75,185,0,0,1,315,,,
Rick Henninger,R,78,225,0,0,1,316,,,
Joe Foy,R,72,215,0.248,58,1,317,,,
Ed Goodson,L,75,180,0.26,30,1,318,,,
Mark Brown,B,74,190,0,0,1,319,,,
Mickey Klutts,R,71,170,0.241,14,1,320,,,
Leroy Stanton,R,73,195,0.244,77,1,321,,,
Rafael Vasquez,R,72,160,0,0,1,322,,,
Len Whitehouse,L,71,175,0,0,1,323,,,
Danny Ainge,R,76,175,0.22,2,1,324,,,
Adolfo Phillips,R,73,175,0.247,59,1,325,,,
Marv Breeding,R,72,175,0.25,7,1,326,,,
Steve Adkins,R,78,210,0,0,1,327,,,
Dick McAuliffe,L,71,176,0.247,197,1,328,,,
Joe Horlen,R,72,170,0.134,0,1,329,,,
Glenn Burke,R,72,195,0.237,2,1,330,,,
Tony Mack,R,70,177,0,0,1,331,,,
Terry Humphrey,R,75,185,0.211,6,1,332,,,
Bill Moran,R,76,210,0,0,1,333,,,
Enzo Hernandez,R,68,155,0.224,2,1,334,,,
Cesar Gutierrez,R,69,155,0.235,0,1,335,,,
Coco Laboy,R,70,165,0.233,28,1,336,,,
Ted Kubiak,B,72,175,0.231,13,1,337,,,
Jim Morrison,R,71,175,0.26,112,1,338,,,
Tom Gilles,R,73,185,0,0,1,339,,,
Bobby Knoop,R,73,170,0.236,56,1,340,,,
Bobby Brown,B,74,190,0.245,26,1,341,,,
Tom Hutton,L,71,180,0.248,22,1,342,,,
Ron Hodges,L,73,185,0.24,19,1,343,,,
Rich Chiles,L,71,170,0.254,6,1,344,,,
Tom Paciorek,R,76,215,0.282,86,1,345,,,
Gary Woods,R,74,185,0.243,13,1,346,,,
Bob Montgomery,R,73,195,0.258,23,1,347,,,
Jeff Burroughs,R,73,200,0.261,240,1,348,,,
Rusty Staub,L,74,190,0.279,292,1,349,,,
Jim Norris,L,70,175,0.264,7,1,350,,,
Oscar Gamble,L,71,160,0.265,200,1,351,,,
Bob Kammeyer,R,76,210,0,0,1,352,,,
George Vukovich,L,72,198,0.268,27,1,353,,,
Joe Pactwa,L,71,185,0,0,1,354,,,
Craig Reynolds,L,73,175,0.256,42,1,355,,,
Paul Blair,R,72,168,0.25,134,1,356,,,
Al Cowens,R,73,197,0.27,108,1,357,,,
Al Oliver,L,72,195,0.303,219,1,358,,,
Dave Hilton,R,71,191,0.213,6,1,359,,,
Luis Alvarado,R,69,162,0.214,5,1,360,,,
Larry Parrish,R,75,190,0.263,256,1,361,,,
Woodie Fryman,R,75,197,0.138,2,1,362,,,
Bob Randall,R,74,175,0.257,1,1,363,,,
Jim Pankovits,R,70,170,0.25,9,1,364,,,
Sherman Corbett,L,76,205,0,0,1,365,,,
Carmen Fanzone,R,72,200,0.224,20,1,366,,,
Gary Allenson,R,71,185,0.221,19,1,367,,,
Milt May,L,72,190,0.263,77,1,368,,,
Mike Vail,R,73,180,0.279,34,1,369,,,
Nick Esasky,R,75,200,0.25,122,1,370,,,
Jim Nettles,L,72,186,0.22,16,1,371,,,
Lafayette Currence,B,71,175,0,0,1,372,,,
Chris Cannizzaro,R,72,190,0.235,18,1,373,,,
Larry Biittner,L,74,205,0.273,29,1,374,,,
John Pawlowski,R,74,175,0,0,1,375,,,
Mel Stottlemyre,R,73,178,0.16,7,1,376,,,
Jack Hardy,R,74,175,0,0,1,377,,,
Ron Musselman,R,74,185,0,0,1,378,,,
